,H1,H2,H3,H4,H5,rad,win,mot,n_mot
37,-42.63890653862591,-75.67493607405436,5.707940714707455,-1.7157986769777178,-43.65524810352784,1.0,16.0,14.0,2
38,366.99358155039505,552.9801458415013,614.959136591481,450.9569863783955,868.6023087346164,1.0,16.0,15.0,1
39,116.86549161655756,158.26640625749354,182.26161677437003,166.1326283440396,155.71850770293062,1.0,16.0,17.0,1
40,26.998102375368564,-6.764645957685297,2.929622974317474,13.586036392656421,-30.163542619283238,1.0,16.0,18.0,2
41,9.975561480176935,-121.67527062536952,-71.82839003380889,21.326806217527917,-25.662964289620987,1.0,16.0,19.0,1
42,11989.63162637214,21348.227391235043,32202.44853294462,35166.15794837886,32068.78007327525,1.0,18.0,0.0,1
43,271.76318211899695,853.209335195502,1105.653295371598,1170.5204573786255,1280.844018839896,1.0,18.0,1.0,2
44,-41.193629806233574,-1923.3666954829832,-27.870511721439726,95.46598947574913,92.85478508069562,1.0,18.0,2.0,1
45,32.85693128330925,-26.2852392384033,713.3671334670191,132.95850721963953,64.20202553355662,1.0,18.0,3.0,4
46,27.43570796171127,23.442171560639345,-117.12593015678257,3.163640621101443,-14.17061597689455,1.0,18.0,6.0,1
47,-27.09692088163622,25.83541767962648,62.06968593634099,8.895512801592737,66.48915150682629,1.0,18.0,11.0,1
48,-2.2585462298611976,1.3479551692317058,-43.18313694224691,32.18663101621196,-19.66077902071016,1.0,18.0,12.0,2
49,-161.1991273919626,95.71877544499566,71.15800557133609,62.79298953913331,65.96381647768283,1.0,18.0,13.0,1
50,300.13931737266176,464.9297430116816,550.5403899627862,560.5751834182449,596.0854068859234,1.0,18.0,14.0,1
51,437.645448295742,534.6224035804573,394.7653197413418,828.97469632871,816.7043654656784,1.0,18.0,15.0,1
52,42.91305823279116,1.7075388511632639,66.7426198515576,93.35092378120132,93.62121097346085,1.0,18.0,16.0,4
53,118.26404891445375,159.80579705069445,150.81985993520033,132.798914140445,165.95225897387363,1.0,18.0,17.0,1
54,23.261979845661244,156.11336744676467,-105.62628042034471,38.71957911589135,-60.893214288473146,1.0,18.0,18.0,3
55,4.656234131923814,-2602.9689423229743,-3238.3463261482752,13.02478451720909,-7596.343361971186,1.0,10.0,0.0,1
56,32.888320887652014,-30.145987540056048,-30.84291462223601,23.666262386989292,-90.29308720910973,1.0,10.0,1.0,2
57,10362.71547387265,22169.836976492435,32853.7597850813,35256.32513139458,32590.20558605246,1.0,10.0,2.0,1
58,48.581564440289824,-27.65995399640999,11.956241326871933,42.43448821831704,-54.800813022455465,1.0,10.0,3.0,3
59,24.471408905051476,36.50899780304638,-9.828164346460184,51.049438141575536,-132.43940722281863,1.0,10.0,5.0,2
60,47.41794838349965,-14.398193183992449,2.39084259425357,24.445813852282654,-67.32009444854778,1.0,10.0,6.0,4
61,109.67270763385099,80.64913371359384,78.88717466798161,94.24222625042798,90.89737561588299,1.0,10.0,8.0,1
62,183.58013263613663,-31.582392306220754,89.84058591332834,74.57076263602534,-27.022277314070834,1.0,10.0,12.0,6
63,-55.813774190901306,-373.6791812635595,-294.15122464638387,-26.89448213530637,19.770426828438694,1.0,10.0,13.0,1
64,491.6369181453253,-1183.8797333761036,-1726.529236704828,539.1004083065998,-3950.2633910063273,1.0,10.0,14.0,1
65,49.44747139791276,55.55362153727333,55.553813467165305,41.99170132372774,48.504692153557905,1.0,10.0,18.0,1
66,-299.8487500263373,-63.31541795276931,15.244427593949979,308.11841207768424,-578.0686897095117,1.0,10.0,19.0,1
67,-41.193629806233574,-1923.3666954829832,-27.870511721439726,95.46598947574913,92.85478508069562,1.0,22.0,0.0,1
68,-33.17702802079671,-62.178376154216,-1.7675917219703212,-5.735602690983506,-36.67159017187873,1.0,22.0,4.0,1
69,203.27597234496562,504.85421392923786,549.7953271602415,528.3418180423539,644.0801938812939,1.0,22.0,6.0,1
70,-12.987648442849007,-57.26146343324846,-28.67429254393224,0.9024113947873893,-10.048882160778753,1.0,22.0,7.0,3
71,282.58100271464195,456.98824162946175,374.5404089108599,578.5220562044872,608.9664928088451,1.0,22.0,12.0,1
72,387.8602900477392,447.0413202353687,582.6181323916336,712.867923714087,543.4314494915263,1.0,22.0,14.0,1
73,115.85217247833312,91.94531175141,104.71463104431311,172.53702793263142,119.16206554247637,1.0,22.0,15.0,1
74,156.51387502358352,-41.45355833061893,52.91681806412453,203.3708907592607,92.77092351482952,1.0,22.0,16.0,1
75,152.3193360747919,118.81276233444484,-65.37025871571866,-47.716011183837864,-246.90701527073745,1.0,22.0,17.0,1
76,2.1633704313617326,-10.446237696198466,-2.5313911226426242,-6.425144338711668,-26.71393427277163,1.0,22.0,18.0,4
77,-33.17702802079671,-62.178376154216,-1.7675917219703212,-5.735602690983506,-36.67159017187873,1.0,24.0,1.0,1
78,-175.24319870407697,34.1628021212187,145.06059686153387,64.1252475388749,62.14278392589451,1.0,24.0,2.0,2
79,300.13931737266176,464.9297430116816,550.5403899627862,560.5751834182449,596.0854068859234,1.0,24.0,5.0,1
80,5.073447576115427,-40.84418078443875,41.419072583789436,47.725793060619324,80.66317761909616,1.0,24.0,8.0,2
81,-69.06067618437802,-56.72115944962137,33.42956186172922,-14.575403750008311,-24.192230778240457,1.0,24.0,9.0,4
82,385.56537396486044,445.5783999895817,212.61355080339268,566.2471410550091,450.7884356110299,1.0,24.0,12.0,1
83,15.723511455860844,217.0621069326706,118.9880938863914,74.6733387849053,60.483369339474876,1.0,24.0,13.0,1
84,156.51387502358352,-41.45355833061893,52.91681806412453,203.3708907592607,92.77092351482952,1.0,24.0,14.0,1
85,-161.1991273919626,95.71877544499566,71.15800557133609,62.79298953913331,65.96381647768283,1.0,24.0,15.0,1
86,-25.675650518106224,10.410924003098764,-137.59618110949452,-336.2810310760403,134.78795178191723,1.0,24.0,16.0,1
87,316.8849788014889,526.2562574404135,420.65541235097635,626.7995436281196,632.1653754275746,1.0,24.0,17.0,1
88,51.035532518977284,-51.215289651853,-36.908331387157475,61.88091567394759,76.0151519066698,1.0,24.0,18.0,2
89,282.58100271464195,456.98824162946175,374.5404089108599,578.5220562044872,608.9664928088451,1.0,30.0,2.0,1
90,59.12715530330748,138.47356537763204,95.5996600309173,128.24540077987012,97.13341717696379,1.0,30.0,6.0,1
91,156.51387502358352,-41.45355833061893,52.91681806412453,203.3708907592607,92.77092351482952,1.0,30.0,7.0,1
92,101.0057497182184,154.1590649424916,147.88625155537514,130.03866395337627,130.73945563865396,1.0,30.0,10.0,2
93,-166.47757564551932,-276.73261819656705,-367.0884424914852,286.2372664663015,-112.1387524155104,1.0,30.0,11.0,4
94,-161.1991273919626,95.71877544499566,71.15800557133609,62.79298953913331,65.96381647768283,1.0,30.0,12.0,1
95,22.964723378898235,-1.4131778609752352,-6.513088830189957,-2.1593410249097875,-3.449308239535485,1.0,30.0,14.0,2
96,20.977052103410166,64.6196548438597,58.47306231041376,42.77540868269212,42.8644609847904,1.0,30.0,15.0,3
97,51.58275330482604,111.82958436436454,151.74289372751917,166.32617542833427,153.15077939548948,1.0,30.0,16.0,1
98,147.46939815513343,126.54895038553785,182.99582845581605,130.50632427376428,128.1221612417257,1.0,30.0,17.0,1
99,24.226623833607597,-2.529294756673867,48.149318558764264,-9.304788469893031,20.662127156433563,1.0,30.0,18.0,4
100,-161.9836882139973,42.44671180060682,-78.30729028832208,-74.59692914416178,-61.79178348822896,1.0,30.0,19.0,2
101,347.5419513207293,382.51115787216156,528.7549929716956,437.0078247512263,615.3411825091679,1.0,36.0,2.0,1
102,58.27233124842351,-5.551184446159539,221.67390382377386,126.22149523910495,275.55259867397143,1.0,36.0,3.0,1
103,72.11805591043654,105.26932009829729,110.5041677905237,143.2407281658244,-133.45977132651177,1.0,36.0,11.0,1
104,-47.252223322588144,19.752130339467627,-15.490158282590896,-1.5022873698198254,-13.833537948015717,1.0,36.0,13.0,3
105,108.66087766682456,120.27564644893998,101.26187697113637,90.79211109518393,111.60556103711824,1.0,36.0,16.0,6
106,-26.200657517175756,11.159710558599507,-44.23090167745748,-22.69739104912244,-8.886145531193094,1.0,36.0,18.0,5
107,4.655946919871422,-2602.9634272785765,-3238.340808955159,13.01978086783753,-7596.337784613949,1.2,12.0,0.0,1
108,63.160988648142954,-39.659298457184704,8.710781511528154,28.345132611804146,-51.08612619066079,1.2,12.0,2.0,3
109,148.28905392772538,12.743517219250549,-5.414669165835278,68.0016676371385,38.203942221986956,1.2,12.0,3.0,2
110,-29.792379245275647,46.78936006472727,-114.09212723495716,80.57638687066364,61.477110811530444,1.2,12.0,4.0,2
111,170.7128554147073,341.7856617455581,453.38200342529956,597.7751815806344,403.60023792709865,1.2,12.0,5.0,3
112,11.968469086792155,70.52399703680268,55.83955602354686,-20.01488701148169,-10.248113829811842,1.2,12.0,7.0,4
113,122.23158675779106,-10.364188456341111,96.43284286637302,67.22061719918669,12.08131634175259,1.2,12.0,9.0,8
114,-78.10515418403892,62.322789497181496,-104.57996083519193,19.813400009657848,-73.78188342301985,1.2,12.0,10.0,4
115,-70.45787892777153,-65.60180714912718,-183.79545475013654,-87.01022725168175,-85.31198719736624,1.2,12.0,11.0,1
116,33.76576025471587,-30.392156164891233,63.62629414417768,35.83214081567385,-25.627702544202354,1.2,12.0,13.0,8
117,36.615764573864915,64.51663619687461,57.61279017634931,-57.877651719372196,36.077644442544646,1.2,12.0,14.0,1
118,-61.91845647315346,438.21633969249797,33.773806334965364,142.71929554577372,-24.348867504548004,1.2,12.0,15.0,1
